Entity Name,Location,Description,Website
Creative Destruction Lab (CDL),Toronto/Vancouver/Remote,"This premier deep-tech incubator offers a dedicated Space Stream that aligns perfectly with your orbital mechanics and pose estimation background. By engaging with their portfolio, you can connect with early-stage founders who need the high-level mathematical modeling and resilient problem-solving skills of an Aerospace Master's graduate. It serves as a gateway to high-growth startups where your 'plasticity window' for learning C++ and ROS will be highly valued.",https://creativedestructionlab.com/
Velocity,Waterloo,"As the heart of hardware robotics in Canada, Velocity provides an ideal ecosystem for an engineer looking to bridge the gap between pure software AI and physical deployment. Your experience with NVIDIA Jetson and real-time inference is a direct match for the embedded challenges faced by their hardware-focused teams. This is a primary hub for meeting founding teams that require the systems-level thinking inherent in your aerospace training.",https://velocityincubator.com/
Next AI,Toronto/Montreal,"This accelerator focuses heavily on AI ventures, many of which integrate complex hardware components that require the precise 3D perception skills you developed during your thesis. Your expertise in deep learning for photogrammetry can be applied to their diverse portfolio, ranging from medical robotics to industrial automation. It is a high-velocity environment where your aptitude for innovating with new algorithms will allow you to stand out as a technical leader.",https://www.nextcanada.com/next-ai
Obruta Space Solutions,Ottawa/Remote,"Having already worked here, you are well-versed in their focus on satellite servicing, autonomous docking, and RPOD missions. Your deep understanding of their GNC and computer vision pipelines makes you a prime candidate for more advanced, leadership-leaning roles or specialized technical consulting. Your familiarity with their flight software requirements is a significant asset as they scale their autonomous orbital capabilities.",https://www.obruta.com/
Moon Trades,Remote/Regional,"This startup is pioneering lunar mining robotics and autonomous mineral exploration, a field that directly utilizes your thesis work on unstructured resident space objects. Their mission requires robust visual-spatial intelligence for navigation in harsh, unmapped lunar environments where your pose estimation skills are a critical necessity. It represents the 'New Space' velocity you enjoy, providing a fast-paced setting to implement complex GNC algorithms.",https://www.moontrades.space/
Mission Control Space Services,Ottawa,"Focused on space robotics and deep learning in lunar orbit, this company is perhaps the closest match to your specific academic and professional pedigree. Their Spacefarer autonomy platform requires the exact kind of terrain segmentation and autonomous guidance expertise you possess. Working here would allow you to deploy AI in mission-critical environments while mastering the C++ and ROS production stacks used in modern spaceflight.",https://missioncontrolspace.com/
Avidbots,"Kitchener-Waterloo, ON","They lead the market in autonomous floor-scrubbing robots, utilizing complex SLAM and navigation systems that are conceptually similar to your work with mobile robot kinematic models. Your background in state estimation and Monte Carlo methods is highly relevant to their ongoing efforts to improve reliability in dynamic, unstructured environments. They offer a stable yet innovative industrial robotics setting where you can refine your real-time inference skills at scale.",https://avidbots.com/
Inductive Ventures,Regional,"Specializing in magnetic braking and propulsion, this company operates at the intersection of high-speed physics and control theory. Your aerospace engineering background provides the necessary understanding of dynamics and electromagnetics to contribute to their control systems. This role offers a unique opportunity to apply your mathematical modeling skills to novel ground transportation technologies.",https://inductivev.com/
Ribbit,Waterloo,"Developing autonomous cargo drones, Ribbit is tackling the GNC challenges of pilotless flight in commercial airspace. Your expertise in autonomous systems and sensor fusion is directly applicable to their need for robust detect-and-avoid capabilities. This position would allow you to leverage your aerospace degree while gaining hands-on experience with the regulatory and technical hurdles of autonomous aviation.",https://www.flyribbit.com/
Tenomix,London/Regional,"This medical robotics startup focuses on tissue analysis, requiring high-fidelity computer vision similar to the photogrammetry techniques you've mastered. Your ability to reconstruct 3D geometry from visual data could be pivotal in their development of precision surgical tools. It's a high-impact role where your deep learning skills can directly improve patient outcomes through intelligent automation.",https://tenomix.com/
Vope Medical,Montreal,"A graduate of Next AI, Vope Medical integrates AI and robotics to solve complex healthcare challenges, likely involving visual guidance systems. Your experience with pose estimation in unstructured environments translates well to the variability of biological systems. This is an opportunity to apply your 'diamond-platinum' work ethic to a fast-paced, mission-driven startup environment.",https://vopemedical.com/
Sanctuary AI,Vancouver,"Building general-purpose humanoid robots, Sanctuary AI represents the cutting edge of embodied intelligence and robotic control. Your background in actor-critic deep reinforcement learning is directly relevant to their work in teaching robots to interact with the world. This role offers the chance to work on some of the most complex problems in robotics, pushing the boundaries of what autonomous systems can achieve.",https://sanctuary.ai/
A&K Robotics,Vancouver/Ottawa,"Specializing in autonomous micro-mobility, A&K Robotics deals with navigation in crowded, dynamic human environments. Your knowledge of collision avoidance and path planning algorithms would be immediately valuable to their engineering team. This role provides a practical platform to transition your research skills into deployed commercial products.",https://www.akrobotics.com/
Clearpath Robotics / OTTO Motors,"Kitchener-Waterloo, ON","As a standard-bearer for mobile robotics research platforms, Clearpath is an excellent place to deepen your expertise in ROS and industrial autonomy. Their heavy use of open-source robotics stacks aligns with your desire to broaden your career perspectives in practical robotics. Working here would expose you to a wide variety of robotic form factors and sensor configurations.",https://clearpathrobotics.com/
Deep Trekker,"Kitchener-Waterloo, ON","Their rugged underwater ROVs require robust control systems and sensor fusion to operate in turbid, GPS-denied environments. Your interest in marine robotics and experience with visual navigation makes you a strong fit for their R&D team. This role bridges the gap between your aerospace GNC knowledge and the challenging physics of the underwater world.",https://www.deeptrekker.com/
MDA Space,Ottawa/Brampton,"A giant in space robotics, MDA offers opportunities to work on iconic projects like Canadarm3 and the Lunar Gateway. Your thesis work on pose estimation for resident space objects is highly relevant to their vision systems and autonomous control strategies. While a large company, their 'skunkworks' teams offer the rigorous engineering challenges you seek in space autonomy.",https://mda.space/
Synaptive Medical,Toronto,"Synaptive leverages deep learning for surgical vision, a domain that demands the same high reliability and precision as aerospace systems. Your experience with 3D reconstruction and sensor fusion would be a major asset in enhancing their visualization technologies. This role allows you to apply your advanced computer vision skills to critical medical applications.",https://www.synaptivemedical.com/
Canadensys Aerospace,Bolton/Ottawa,"Developing lunar rovers and space systems, Canadensys is a fast-moving player in the commercial space sector. Your background in mobile robot kinematics and space environment constraints makes you an immediate asset to their mobility teams. This is a prime opportunity to work on hardware that will actually touch the lunar surface.",https://www.canadensys.com/
Invest Ottawa (Area X.O),"Ottawa, ON","Area X.O is a smart city testbed that offers a unique playground for validating autonomous systems in real-world weather conditions. Your interest in 'ground truthing' algorithms matches their focus on V2X and sensor fusion testing. engaging with this ecosystem puts you in direct contact with the companies building the future of mobility in Ottawa.",https://areaxo.com/
InDro Robotics,"Ottawa, ON","A leader in UAV and UGV innovation, InDro specializes in heterogeneous swarm architectures and industrial inspection. Your desire to work with autonomous swarms and field robotics aligns perfectly with their operational focus. This role offers the hands-on, 'mud and snow' robotics experience you are looking for, moving beyond pure simulation.",https://indrorobotics.ca/
Hexagon | AutonomouStuff,Ottawa,"As a hub for autonomous drive engineering, this company integrates diverse sensor suites onto drive-by-wire platforms. Your skills in sensor fusion and state estimation are critical for their work in creating robust autonomy stacks. This is an excellent environment to learn the industry-standard tools and hardware used in self-driving vehicles.",https://hexagon.com/
BlackBerry QNX,Ottawa,"QNX provides the real-time operating systems that underpin safety-critical autonomous systems in automotive and medical fields. Your interest in learning low-level embedded concepts and C++ reliability makes this a valuable learning ground. Understanding the RTOS layer is a powerful differentiator for a robotics engineer.",https://blackberry.com/qnx
Kanata North Business Association (KNBA),Ottawa,"The KNBA connects the densest technology park in Canada, serving as a portal to the 'hidden' job market you are seeking. By leveraging their network, you can bypass standard HR filters and connect directly with engineering leads at varied tech firms. This is a strategic resource for finding unlisted opportunities in the Ottawa region.",https://www.kanatanorthba.com/
Hub350,Ottawa,"Hub350 is the physical collision space for Kanata's tech ecosystem, hosting events where you can network with industry leaders. It provides a venue to showcase your 'Trojan Horse' projects and meet potential employers face-to-face. Utilizing this space can help you overcome social hurdles by focusing on technical engagement.",https://www.hub350.com/
Ross Video,Ottawa,"Ross Video's robotics division builds high-precision camera motion systems, requiring advanced control theory and smooth path planning. Your background in kinematics and dynamics is directly applicable to their need for vibration-free robotic movement. This is a unique niche where broadcast technology meets rigorous robotics engineering.",https://www.rossvideo.com/
Calian,Ottawa,"With diverse contracts in space and defense, Calian offers a breadth of engineering challenges including advanced manufacturing and nuclear services. Your systems engineering mindset and aerospace background make you a versatile candidate for their complex integration projects. They provide a stable platform to work on high-stakes national technology initiatives.",https://www.calian.com/
Gastops,Ottawa,"Gastops specializes in equipment intelligence and propulsion health monitoring, using sensors to predict failure in critical aerospace systems. Your knowledge of sensor fusion and data analysis aligns with their work in predictive maintenance and digital twins. This role offers a blend of physical sensing and advanced analytics in the aerospace domain.",https://www.gastops.com/
Invest Ottawa / Bayview Yards,Ottawa,"As Ottawa's main startup incubator, Bayview Yards is the launchpad for many of the deep tech ventures you are interested in. The IO Ignition program hosts companies that could benefit from your specific AI and robotics expertise. It is a key node for finding early-stage startups looking for a founding engineer.",https://www.investottawa.ca/
Provectus Robotics Solutions,Ottawa,"Provectus specializes in retrofitting military vehicles for autonomy, working directly in the unstructured environments you are interested in. Your skills in SLAM and path planning for off-road terrain are highly relevant to their 'A-Kit' technology. This role offers the chance to work on rugged, heavy-duty robotics with significant defense applications.",https://provectus-robotics.com/
FourD Robotics,Ottawa,"Focusing on 'Autonomous Vehicles as a Service,' FourD develops custom UGV solutions for security and inspection. Your interest in autonomous mobile robots and sensor integration makes you a strong fit for their engineering team. This company provides a focused environment to apply your navigation algorithms to real-world security challenges.",https://www.fourdrobotics.com/
Cyberworks Robotics,Hamilton/Markham,"Cyberworks develops autonomous navigation stacks for diverse platforms like wheelchairs and industrial cleaners. Your background in probabilistic robotics and path planning is directly applicable to their core technology. This role offers the opportunity to work on software that makes existing machines intelligent.",https://www.cyberworksrobotics.com/
Sensor Cortek,Ottawa,"Using AI to clean up radar and LiDAR data, Sensor Cortek addresses the fundamental perception challenges of autonomous driving. Your deep learning expertise, particularly in sensor fusion, is a perfect match for their radar-centric approach. This is a niche opportunity to specialize in the signal processing side of robotic perception.",https://www.sensorcortek.com/
SmartCone Technologies / AutoGuardian,"Ottawa, ON","SmartCone integrates IoT sensor hubs with computer vision to track Vulnerable Road Users, a dynamic tracking problem similar to your thesis work. Your experience with object detection and trajectory prediction is directly transferable to their safety-critical applications. This role combines embedded systems with smart city infrastructure.",https://thesmartcone.com/
Aurrigo,Ottawa/UK,"Aurrigo deploys autonomous pods and aviation ground support vehicles, operating in the semi-structured environments of airports. Your aerospace background gives you a unique understanding of the operational constraints and safety requirements in this sector. This is a chance to work on autonomy that directly supports the aviation industry.",https://aurrigo.com/
General Dynamics Mission Systems,Ottawa,"The Vetronics group at GDMS works on the vehicle electronics and systems for Land Systems like LAVs. Your understanding of ruggedized electronics and systems integration is highly valued in this defense context. This role offers exposure to military-grade engineering standards and complex vehicle architectures.",https://www.gdmissionsystems.ca/
UAV Ontario,"Barrie/Simcoe, ON","Specializing in drone LiDAR and point cloud delivery, this company operates at the intersection of aerospace and geomatics. Your expertise in photogrammetry and 3D reconstruction is directly applicable to their data processing pipelines. This is a practical, field-focused role that leverages your specific technical skills.",https://reconaerialmedia.com/
